Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag
3,A1,2188,1837,H3A,5855,1,,control,0.0001,
3,B1,2326,2148,H3A,999,77,1217,antagScreen,1.00E-06,3.00E-05
3,C1,2812,2247,H3A,999,77,904,antagScreen,1.00E-06,3.00E-05
3,D1,2268,1931,H3A,999,77,1218,antagScreen,1.00E-06,3.00E-05
3,E1,2665,1879,H3A,999,77,905,antagScreen,1.00E-06,3.00E-05
3,F1,2707,1820,H3A,999,77,1219,antagScreen,1.00E-06,3.00E-05
3,G1,2406,1748,H3A,999,77,906,antagScreen,1.00E-06,3.00E-05
3,H1,2738,1740,H3A,999,77,1220,antagScreen,1.00E-06,3.00E-05
3,I1,2468,1509,H3A,999,77,907,antagScreen,1.00E-06,3.00E-05
3,J1,2726,1534,H3A,999,77,1221,antagScreen,1.00E-06,3.00E-05
3,K1,2190,1404,H3A,999,77,908,antagScreen,1.00E-06,3.00E-05
3,L1,2521,1456,H3A,999,77,1222,antagScreen,1.00E-06,3.00E-05
3,M1,2339,1237,H3A,999,77,909,antagScreen,1.00E-06,3.00E-05
3,N1,2335,1216,H3A,999,77,1223,antagScreen,1.00E-06,3.00E-05
3,O1,2660,1380,H3A,999,77,910,antagScreen,1.00E-06,3.00E-05
3,P1,1914,1331,H3A,999,77,1224,antagScreen,1.00E-06,3.00E-05
3,A2,1954,1441,H3A,5855,1,,control,0.0001,
3,B2,2282,2037,H3A,999,77,1125,antagScreen,1.00E-06,3.00E-05
3,C2,2166,1748,H3A,999,77,810,antagScreen,1.00E-06,3.00E-05
3,D2,2572,1837,H3A,999,77,1126,antagScreen,1.00E-06,3.00E-05
3,E2,2113,1630,H3A,999,77,811,antagScreen,1.00E-06,3.00E-05
3,F2,2145,1530,H3A,999,77,1127,antagScreen,1.00E-06,3.00E-05
3,G2,2228,1555,H3A,999,77,812,antagScreen,1.00E-06,3.00E-05
3,H2,2232,1629,H3A,999,77,1128,antagScreen,1.00E-06,3.00E-05
3,I2,2466,1562,H3A,999,77,813,antagScreen,1.00E-06,3.00E-05
3,J2,2284,1372,H3A,999,77,1129,antagScreen,1.00E-06,3.00E-05
3,K2,2367,1400,H3A,999,77,814,antagScreen,1.00E-06,3.00E-05
3,L2,2329,1386,H3A,999,77,1130,antagScreen,1.00E-06,3.00E-05
3,M2,2411,1438,H3A,999,77,815,antagScreen,1.00E-06,3.00E-05
3,N2,2297,1253,H3A,999,77,1131,antagScreen,1.00E-06,3.00E-05
