Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag,
4,A1,1638,1427,H3A,5855,1,,control,0.0001,,
4,B1,1170,1521,H3A,830,817,1217,antagScreen,5.00E-04,3.00E-05,
4,C1,1086,1560,H3A,830,817,904,antagScreen,5.00E-04,3.00E-05,
4,D1,1353,1325,H3A,830,817,1218,antagScreen,5.00E-04,3.00E-05,
4,E1,1776,1310,H3A,830,817,905,antagScreen,5.00E-04,3.00E-05,
4,F1,1186,1523,H3A,830,817,1219,antagScreen,5.00E-04,3.00E-05,
4,G1,1770,1254,H3A,830,817,906,antagScreen,5.00E-04,3.00E-05,
4,H1,1304,1266,H3A,830,817,1220,antagScreen,5.00E-04,3.00E-05,
4,I1,1702,1199,H3A,830,817,907,antagScreen,5.00E-04,3.00E-05,
4,J1,1292,1255,H3A,830,817,1221,antagScreen,5.00E-04,3.00E-05,
4,K1,1750,1176,H3A,830,817,908,antagScreen,5.00E-04,3.00E-05,
4,L1,1522,940,H3A,830,817,1222,antagScreen,5.00E-04,3.00E-05,
4,M1,1742,1078,H3A,830,817,909,antagScreen,5.00E-04,3.00E-05,
4,N1,1456,1056,H3A,830,817,1223,antagScreen,5.00E-04,3.00E-05,
4,O1,1412,1081,H3A,830,817,910,antagScreen,5.00E-04,3.00E-05,
4,P1,984,1081,H3A,830,817,1224,antagScreen,5.00E-04,3.00E-05,
4,A2,2044,1385,H3A,5855,1,,control,0.0001,,
4,B2,985,1414,H3A,830,817,1125,antagScreen,5.00E-04,3.00E-05,
4,C2,1159,1261,H3A,830,817,810,antagScreen,5.00E-04,3.00E-05,
4,D2,1120,1152,H3A,830,817,1126,antagScreen,5.00E-04,3.00E-05,
4,E2,1269,1204,H3A,830,817,811,antagScreen,5.00E-04,3.00E-05,
4,F2,1071,1032,H3A,830,817,1127,antagScreen,5.00E-04,3.00E-05,
4,G2,1119,1105,H3A,830,817,812,antagScreen,5.00E-04,3.00E-05,
4,H2,1446,1203,H3A,830,817,1128,antagScreen,5.00E-04,3.00E-05,
4,I2,1428,1098,H3A,830,817,813,antagScreen,5.00E-04,3.00E-05,
4,J2,1094,1006,H3A,830,817,1129,antagScreen,5.00E-04,3.00E-05,
4,K2,1337,1104,H3A,830,817,814,antagScreen,5.00E-04,3.00E-05,
4,L2,1403,997,H3A,830,817,1130,antagScreen,5.00E-04,3.00E-05,
4,M2,1126,1103,H3A,830,817,815,antagScreen,5.00E-04,3.00E-05,
4,N2,1142,897,H3A,830,817,1131,antagScreen,5.00E-04,3.00E-05,
4,O2,1319,954,H3A,830,817,816,antagScreen,5.00E-04,3.00E-05,
4,P2,1148,958,H3A,830,817,1132,antagScreen,5.00E-04,3.00E-05,
4,A3,2271,1196,H3A,5855,1,,control,0.0001,,
4,B3,1325,1402,H3A,830,817,1225,antagScreen,5.00E-04,3.00E-05,
4,C3,1470,1455,H3A,830,817,912,antagScreen,5.00E-04,3.00E-05,
4,D3,1457,1315,H3A,830,817,1226,antagScreen,5.00E-04,3.00E-05,
4,E3,1470,1227,H3A,830,817,913,antagScreen,5.00E-04,3.00E-05,
4,F3,1456,1208,H3A,830,817,1227,antagScreen,5.00E-04,3.00E-05,
4,G3,1485,1241,H3A,830,817,914,antagScreen,5.00E-04,3.00E-05,
4,H3,1216,1056,H3A,830,817,1228,antagScreen,5.00E-04,3.00E-05,
4,I3,1458,1147,H3A,830,817,915,antagScreen,5.00E-04,3.00E-05,
4,J3,1337,1028,H3A,830,817,1229,antagScreen,5.00E-04,3.00E-05,
4,K3,1610,1139,H3A,830,817,916,antagScreen,5.00E-04,3.00E-05,
4,L3,1398,1001,H3A,830,817,1230,antagScreen,5.00E-04,3.00E-05,
4,M3,1495,617,H3A,830,817,917,antagScreen,5.00E-04,3.00E-05,
4,N3,1321,991,H3A,830,817,1231,antagScreen,5.00E-04,3.00E-05,
4,O3,1591,1040,H3A,830,817,918,antagScreen,5.00E-04,3.00E-05,
4,P3,1391,947,H3A,830,817,1232,antagScreen,5.00E-04,3.00E-05,
4,A4,1855,1437,H3A,5855,1,,control,0.0001,,
4,B4,1348,1420,H3A,830,817,1133,antagScreen,5.00E-04,3.00E-05,
4,C4,1307,1457,H3A,830,817,818,antagScreen,5.00E-04,3.00E-05,
4,D4,1202,1253,H3A,830,817,1134,antagScreen,5.00E-04,3.00E-05,
4,E4,1177,1151,H3A,830,817,819,antagScreen,5.00E-04,3.00E-05,
4,F4,1142,1140,H3A,830,817,1135,antagScreen,5.00E-04,3.00E-05,
4,G4,1274,1153,H3A,830,817,820,antagScreen,5.00E-04,3.00E-05,
4,H4,1187,1043,H3A,830,817,1136,antagScreen,5.00E-04,3.00E-05,
4,I4,1242,1145,H3A,830,817,821,antagScreen,5.00E-04,3.00E-05,
4,J4,1195,1073,H3A,830,817,1137,antagScreen,5.00E-04,3.00E-05,
4,K4,1455,1186,H3A,830,817,822,antagScreen,5.00E-04,3.00E-05,
4,L4,1122,961,H3A,830,817,1138,antagScreen,5.00E-04,3.00E-05,
4,M4,995,801,H3A,830,817,823,antagScreen,5.00E-04,3.00E-05,
4,N4,1247,891,H3A,830,817,1139,antagScreen,5.00E-04,3.00E-05,
4,O4,1078,880,H3A,830,817,824,antagScreen,5.00E-04,3.00E-05,
4,P4,1409,987,H3A,830,817,1140,antagScreen,5.00E-04,3.00E-05,
4,A5,2023,1285,H3A,5855,1,,control,0.0001,,
4,B5,1384,1367,H3A,830,817,1233,antagScreen,5.00E-04,3.00E-05,
4,C5,1513,1424,H3A,830,817,920,antagScreen,5.00E-04,3.00E-05,
4,D5,1262,1244,H3A,830,817,1234,antagScreen,5.00E-04,3.00E-05,
4,E5,1413,1241,H3A,830,817,921,antagScreen,5.00E-04,3.00E-05,
4,F5,1183,1057,H3A,830,817,1235,antagScreen,5.00E-04,3.00E-05,
