ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
391251,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A1,2799,1902,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391252,04-Nov-16,1,999,77,1217,,,,0.0000010,0.000030,,,,B1,2415,1501,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391253,04-Nov-16,1,999,77,904,,,,0.0000010,0.000030,,,,C1,3962,1820,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391254,04-Nov-16,1,999,77,1218,,,,0.0000010,0.000030,,,,D1,4941,1324,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391255,04-Nov-16,1,999,77,905,,,,0.0000010,0.000030,,,,E1,1924,1347,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391256,04-Nov-16,1,999,77,1219,,,,0.0000010,0.000030,,,,F1,2293,1369,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391257,04-Nov-16,1,999,77,906,,,,0.0000010,0.000030,,,,G1,1725,1071,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391258,04-Nov-16,1,999,77,1220,,,,0.0000010,0.000030,,,,H1,2286,1195,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391259,04-Nov-16,1,999,77,907,,,,0.0000010,0.000030,,,,I1,2591,958,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391260,04-Nov-16,1,999,77,1221,,,,0.0000010,0.000030,,,,J1,2120,1168,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391261,04-Nov-16,1,999,77,908,,,,0.0000010,0.000030,,,,K1,3424,1102,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391262,04-Nov-16,1,999,77,1222,,,,0.0000010,0.000030,,,,L1,3558,1041,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391263,04-Nov-16,1,999,77,909,,,,0.0000010,0.000030,,,,M1,2569,1045,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391264,04-Nov-16,1,999,77,1223,,,,0.0000010,0.000030,,,,N1,2673,1010,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391265,04-Nov-16,1,999,77,910,,,,0.0000010,0.000030,,,,O1,3776,1235,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391266,04-Nov-16,1,999,77,1224,,,,0.0000010,0.000030,,,,P1,3667,1200,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391267,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A2,173,2018,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391268,04-Nov-16,1,999,77,1125,,,,0.0000010,0.000030,,,,B2,1874,1470,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391269,04-Nov-16,1,999,77,810,,,,0.0000010,0.000030,,,,C2,2657,1553,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391270,04-Nov-16,1,999,77,1126,,,,0.0000010,0.000030,,,,D2,1758,1300,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391271,04-Nov-16,1,999,77,811,,,,0.0000010,0.000030,,,,E2,1502,1300,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391272,04-Nov-16,1,999,77,1127,,,,0.0000010,0.000030,,,,F2,1628,1297,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391273,04-Nov-16,1,999,77,812,,,,0.0000010,0.000030,,,,G2,1734,1239,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391274,04-Nov-16,1,999,77,1128,,,,0.0000010,0.000030,,,,H2,2037,1321,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391275,04-Nov-16,1,999,77,813,,,,0.0000010,0.000030,,,,I2,2087,1156,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391276,04-Nov-16,1,999,77,1129,,,,0.0000010,0.000030,,,,J2,2032,1032,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391277,04-Nov-16,1,999,77,814,,,,0.0000010,0.000030,,,,K2,2832,1251,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391278,04-Nov-16,1,999,77,1130,,,,0.0000010,0.000030,,,,L2,2314,886,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391279,04-Nov-16,1,999,77,815,,,,0.0000010,0.000030,,,,M2,2720,926,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391280,04-Nov-16,1,999,77,1131,,,,0.0000010,0.000030,,,,N2,2813,978,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391281,04-Nov-16,1,999,77,816,,,,0.0000010,0.000030,,,,O2,2423,1084,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391282,04-Nov-16,1,999,77,1132,,,,0.0000010,0.000030,,,,P2,3574,1068,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391283,04-Nov-16,1,999,77,811,,,,0.0000010,0.000000,,,,A3,1983,1871,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391284,04-Nov-16,1,999,77,1225,,,,0.0000010,0.000030,,,,B3,1913,1626,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391285,04-Nov-16,1,999,77,912,,,,0.0000010,0.000030,,,,C3,1438,1442,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391286,04-Nov-16,1,999,77,1226,,,,0.0000010,0.000030,,,,D3,1596,1366,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391287,04-Nov-16,1,999,77,913,,,,0.0000010,0.000030,,,,E3,1387,1310,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391288,04-Nov-16,1,999,77,1227,,,,0.0000010,0.000030,,,,F3,1427,1335,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391289,04-Nov-16,1,999,77,914,,,,0.0000010,0.000030,,,,G3,2308,1210,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391290,04-Nov-16,1,999,77,1228,,,,0.0000010,0.000030,,,,H3,2599,1261,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391291,04-Nov-16,1,999,77,915,,,,0.0000010,0.000030,,,,I3,1524,1158,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391292,04-Nov-16,1,999,77,1229,,,,0.0000010,0.000030,,,,J3,2216,1113,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391293,04-Nov-16,1,999,77,916,,,,0.0000010,0.000030,,,,K3,1824,1127,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
391294,04-Nov-16,1,999,77,1230,,,,0.0000010,0.000030,,,,L3,2276,1093,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,Antag Screen -E Cells,HEK298
