ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
392787,11-Jan-17,1.00,5855.00,1.00,811.00,,,,0.00,0.00,,,,A1,2297.00,9806.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,S6 control,E Cells
392788,11-Jan-17,1.00,999.00,77.00,967.00,,,,0.00,0.00,,,,B1,3911.00,6538.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392789,11-Jan-17,1.00,999.00,77.00,770.00,,,,0.00,0.00,,,,C1,3915.00,7252.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392790,11-Jan-17,1.00,999.00,77.00,968.00,,,,0.00,0.00,,,,D1,3173.00,5952.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392791,11-Jan-17,1.00,999.00,77.00,771.00,,,,0.00,0.00,,,,E1,2472.00,6454.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392792,11-Jan-17,1.00,999.00,77.00,969.00,,,,0.00,0.00,,,,F1,3575.00,5793.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392793,11-Jan-17,1.00,999.00,77.00,772.00,,,,0.00,0.00,,,,G1,3025.00,6309.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392794,11-Jan-17,1.00,999.00,77.00,970.00,,,,0.00,0.00,,,,H1,4140.00,5816.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392795,11-Jan-17,1.00,999.00,77.00,773.00,,,,0.00,0.00,,,,I1,3771.00,5912.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392796,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J1,5305.00,5255.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392797,11-Jan-17,1.00,999.00,77.00,774.00,,,,0.00,0.00,,,,K1,3677.00,5586.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392798,11-Jan-17,1.00,999.00,77.00,972.00,,,,0.00,0.00,,,,L1,2976.00,4775.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392799,11-Jan-17,1.00,999.00,77.00,775.00,,,,0.00,0.00,,,,M1,4616.00,5574.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392800,11-Jan-17,1.00,999.00,77.00,973.00,,,,0.00,0.00,,,,N1,2964.00,4592.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392801,11-Jan-17,1.00,999.00,77.00,776.00,,,,0.00,0.00,,,,O1,3976.00,5409.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392802,11-Jan-17,1.00,999.00,77.00,974.00,,,,0.00,0.00,,,,P1,2304.00,4497.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392803,11-Jan-17,1.00,5855.00,1.00,811.00,,,,0.00,0.00,,,,A2,1751.00,9412.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,S6 control,E Cells
392804,11-Jan-17,1.00,999.00,77.00,1181.00,,,,0.00,0.00,,,,B2,2065.00,7014.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392805,11-Jan-17,1.00,999.00,77.00,872.00,,,,0.00,0.00,,,,C2,3401.00,6426.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392806,11-Jan-17,1.00,999.00,77.00,1182.00,,,,0.00,0.00,,,,D2,3784.00,6100.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392807,11-Jan-17,1.00,999.00,77.00,873.00,,,,0.00,0.00,,,,E2,4199.00,6128.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392808,11-Jan-17,1.00,999.00,77.00,1183.00,,,,0.00,0.00,,,,F2,4039.00,6195.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392809,11-Jan-17,1.00,999.00,77.00,874.00,,,,0.00,0.00,,,,G2,2808.00,5528.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392810,11-Jan-17,1.00,999.00,77.00,1184.00,,,,0.00,0.00,,,,H2,2212.00,5844.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392811,11-Jan-17,1.00,999.00,77.00,875.00,,,,0.00,0.00,,,,I2,4036.00,5776.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392812,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J2,4748.00,5357.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392813,11-Jan-17,1.00,999.00,77.00,876.00,,,,0.00,0.00,,,,K2,4115.00,5543.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392814,11-Jan-17,1.00,999.00,77.00,1186.00,,,,0.00,0.00,,,,L2,5703.00,5335.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392815,11-Jan-17,1.00,999.00,77.00,877.00,,,,0.00,0.00,,,,M2,2184.00,5506.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392816,11-Jan-17,1.00,999.00,77.00,1187.00,,,,0.00,0.00,,,,N2,3205.00,4882.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392817,11-Jan-17,1.00,999.00,77.00,878.00,,,,0.00,0.00,,,,O2,4484.00,4782.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392818,11-Jan-17,1.00,999.00,77.00,1188.00,,,,0.00,0.00,,,,P2,3887.00,4341.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392819,11-Jan-17,1.00,5855.00,1.00,811.00,,,,0.00,0.00,,,,A3,1644.00,8734.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,S6 control,E Cells
392820,11-Jan-17,1.00,999.00,77.00,1093.00,,,,0.00,0.00,,,,B3,2525.00,6257.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392821,11-Jan-17,1.00,999.00,77.00,778.00,,,,0.00,0.00,,,,C3,2309.00,6490.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392822,11-Jan-17,1.00,999.00,77.00,1094.00,,,,0.00,0.00,,,,D3,3759.00,5320.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392823,11-Jan-17,1.00,999.00,77.00,779.00,,,,0.00,0.00,,,,E3,3285.00,5085.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392824,11-Jan-17,1.00,999.00,77.00,1095.00,,,,0.00,0.00,,,,F3,4143.00,5363.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392825,11-Jan-17,1.00,999.00,77.00,780.00,,,,0.00,0.00,,,,G3,2184.00,5272.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392826,11-Jan-17,1.00,999.00,77.00,1096.00,,,,0.00,0.00,,,,H3,3828.00,5093.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392827,11-Jan-17,1.00,999.00,77.00,781.00,,,,0.00,0.00,,,,I3,3568.00,5836.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392828,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J3,2817.00,5019.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392829,11-Jan-17,1.00,999.00,77.00,782.00,,,,0.00,0.00,,,,K3,2673.00,4780.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
