ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
394323,18-Jan-17,1,830,817,0,,,,0.00,0,,,,A1,6781,3677,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394324,18-Jan-17,1,830,817,0,,,,0.00,0,,,,B1,7310,3370,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394325,18-Jan-17,1,830,817,0,,,,0.00,0,,,,C1,7754,3261,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394326,18-Jan-17,1,830,817,0,,,,0.00,0,,,,D1,8757,3420,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394327,18-Jan-17,1,830,817,0,,,,0.00,0,,,,E1,8993,2911,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394328,18-Jan-17,1,830,817,0,,,,0.00,0,,,,F1,10202,2762,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394329,18-Jan-17,1,830,817,0,,,,0.00,0,,,,G1,9068,3103,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394330,18-Jan-17,1,830,817,0,,,,0.00,0,,,,H1,9869,3076,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394331,18-Jan-17,1,830,817,0,,,,0.00,0,,,,I1,9174,2762,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394332,18-Jan-17,1,830,817,0,,,,0.00,0,,,,J1,9136,2594,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394333,18-Jan-17,1,830,817,0,,,,0.00,0,,,,K1,9371,2648,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394334,18-Jan-17,1,830,817,0,,,,0.00,0,,,,L1,9196,2317,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394335,18-Jan-17,1,830,817,0,,,,0.00,0,,,,M1,8894,2438,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394336,18-Jan-17,1,830,817,0,,,,0.00,0,,,,N1,9641,2502,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394337,18-Jan-17,1,830,817,0,,,,0.00,0,,,,O1,8927,2530,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394338,18-Jan-17,1,830,817,0,,,,0.00,0,,,,P1,5712,2359,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394339,18-Jan-17,1,830,817,0,,,,0.00,0,,,,A2,8063,4064,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394340,18-Jan-17,1,830,817,0,,,,0.00,0,,,,B2,9081,3422,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394341,18-Jan-17,1,830,817,0,,,,0.00,0,,,,C2,9539,3079,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394342,18-Jan-17,1,830,817,0,,,,0.00,0,,,,D2,10177,2941,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
394343,18-Jan-17,1,830,817,0,,,,0.00,0,,,,E2,9960,2963,Testing 384 well plate for plate effects; all tx with hTAAR5 and stimmed with TMA,,Kamarck,antag alone,E Cells
