ExperimentKey,TransfectionDate,RunNum,CloneKey,Odor1K,Odor1C,PlateLocation,LucData,RLData,Notes,LabNoteBook,TransfectionType,CellType,PlateNum,RunType,expecting Lum
398558,16-Feb-17,1,830,817,0.50,L1,4060,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398559,16-Feb-17,1,830,817,0.50,M1,4391,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398560,16-Feb-17,1,830,817,0.50,N1,4270,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398561,16-Feb-17,1,830,817,0.50,O1,5003,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398562,16-Feb-17,1,830,817,0.50,P1,2895,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398563,16-Feb-17,1,830,817,0.50,A2,5115,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398564,16-Feb-17,1,830,817,0.50,B2,3536,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398565,16-Feb-17,1,830,817,0.50,C2,4143,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398566,16-Feb-17,1,830,817,0.50,D2,3701,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398567,16-Feb-17,1,830,817,0.50,E2,4128,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398568,16-Feb-17,1,830,817,0.50,F2,4643,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398569,16-Feb-17,1,830,817,0.50,G2,3950,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398570,16-Feb-17,1,830,817,0.50,H2,4347,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398571,16-Feb-17,1,830,817,0.50,I2,4237,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398572,16-Feb-17,1,830,817,0.50,J2,4563,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398573,16-Feb-17,1,830,817,0.50,K2,4691,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398574,16-Feb-17,1,830,817,0.50,L2,5195,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398575,16-Feb-17,1,830,817,0.50,M2,4587,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398576,16-Feb-17,1,830,817,0.50,N2,4700,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398577,16-Feb-17,1,830,817,0.50,O2,4661,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398578,16-Feb-17,1,830,817,0.50,P2,3376,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398579,16-Feb-17,1,830,817,0.50,A3,4822,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398580,16-Feb-17,1,830,817,0.50,B3,5116,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398581,16-Feb-17,1,830,817,0.50,C3,4894,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398582,16-Feb-17,1,830,817,0.50,D3,4150,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398583,16-Feb-17,1,830,817,0.50,E3,4025,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398584,16-Feb-17,1,830,817,0.50,F3,4168,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398585,16-Feb-17,1,830,817,0.50,G3,4162,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398586,16-Feb-17,1,830,817,0.50,H3,4636,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398587,16-Feb-17,1,830,817,0.50,I3,4355,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398588,16-Feb-17,1,830,817,0.50,J3,4334,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398589,16-Feb-17,1,830,817,0.50,K3,4097,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398590,16-Feb-17,1,830,817,0.50,L3,4800,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398591,16-Feb-17,1,830,817,0.50,M3,4296,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398592,16-Feb-17,1,830,817,0.50,N3,4567,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398593,16-Feb-17,1,830,817,0.50,O3,4009,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398594,16-Feb-17,1,830,817,0.50,P3,3785,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398595,16-Feb-17,1,830,817,0.50,A4,5079,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398596,16-Feb-17,1,830,817,0.50,B4,4205,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398597,16-Feb-17,1,830,817,0.50,C4,4677,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398598,16-Feb-17,1,830,817,0.50,D4,4368,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398599,16-Feb-17,1,830,817,0.50,E4,4135,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398600,16-Feb-17,1,830,817,0.50,F4,4294,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398601,16-Feb-17,1,830,817,0.50,G4,3956,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398602,16-Feb-17,1,830,817,0.50,H4,4301,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398603,16-Feb-17,1,830,817,0.50,I4,4199,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398604,16-Feb-17,1,830,817,0.50,J4,4722,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398605,16-Feb-17,1,830,817,0.50,K4,4154,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398606,16-Feb-17,1,830,817,0.50,L4,4107,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398607,16-Feb-17,1,830,817,0.50,M4,3476,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398608,16-Feb-17,1,830,817,0.50,N4,4457,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398609,16-Feb-17,1,830,817,0.50,O4,4190,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
398610,16-Feb-17,1,830,817,0.50,P4,3635,0,Testing 384 well plate for plate effects; plate 1 luc read,Kamarck,antag alone,E Cells,1,Luc,y
