VERTICLE,,,,,,
,plateDate,plateNum,RL_pValue,RL_R,Luc_pValue,Luc_R
1,1/17/17,1,4.81E-30,0.288170963,2.31E-12,0.121005139
2,1/26/17,1,4.34E-93,0.666387696,0.05813511,0.009365558
3,1/26/17,2,8.02E-35,0.327789635,0.846089821,9.88E-05
4,1/26/17,3,7.50E-66,0.536974545,0.000776906,0.029174261
5,1/26/17,4,1.89E-30,0.291622666,0.000178878,0.036135226
,,,,,,
HORIZONTAL,,,,,,
,plateDate,plateNum,RL_pValue,RL_R,Luc_pValue,Luc_R
1,1/17/17,1,1.07E-10,0.103498112,1.07E-10,0.103498112
2,1/26/17,1,0.07238048,0.008426129,1.18E-07,0.070910648
3,1/26/17,2,0.981111347,1.47E-06,9.94E-16,0.155418383
4,1/26/17,3,0.008673305,0.017895274,2.66E-43,0.39282348
5,1/26/17,4,0.00096537,0.028148762,0.034612306,0.011633479
