Receptor,SV40,CRE,Row,Column,TMA_30_luc,TMA_30_RL,TMA_30_norm,TMA_100_luc,TMA_100_RL,TMA_100_norm,TMA_300_luc,TMA_300_RL,TMA_300_norm,UseforRSM,Receptor_Type
2.5,0.5,22.5,A,1,2043,4128,0.494912791,5827,3821,1.524993457,8017,3167,2.531417746,y,hTAAR5
2.5,0.5,25,B,1,2846,3598,0.790994997,6149,3234,1.901360544,8463,2819,3.002128414,y,hTAAR5
2.5,0.5,27.5,C,1,3006,3596,0.83592881,6255,3238,1.931747993,7948,2768,2.871387283,y,hTAAR5
2.5,0.5,30,D,1,2455,2749,0.893052019,5755,2686,2.142591214,6996,2351,2.975754998,y,hTAAR5
2.5,0.5,32.5,E,1,2899,2658,1.090669676,5610,2475,2.266666667,6782,1852,3.661987041,y,hTAAR5
2.5,0.75,22.5,F,1,2731,4944,0.552386731,6389,4259,1.500117398,8128,4188,1.94078319,y,hTAAR5
2.5,0.75,25,G,1,2789,4851,0.574933004,6845,4306,1.589642359,8531,4100,2.080731707,y,hTAAR5
2.5,0.75,27.5,H,1,2625,4431,0.592417062,6403,3892,1.645169579,8870,3736,2.374197002,y,hTAAR5
2.5,0.75,30,A,2,2001,4397,0.455083011,6624,3787,1.749141801,8176,3324,2.459687124,y,hTAAR5
2.5,0.75,32.5,B,2,2616,4139,0.632036724,7775,3840,2.024739583,10901,3141,3.47055078,y,hTAAR5
2.5,1,22.5,C,2,3308,5964,0.554661301,7434,5525,1.345520362,9917,4970,1.995372233,y,hTAAR5
2.5,1,25,D,2,3622,5913,0.612548622,7796,5109,1.525934625,9175,4787,1.916649258,y,hTAAR5
2.5,1,27.5,E,2,3516,5445,0.645730028,7873,5085,1.548279253,10945,4610,2.374186551,y,hTAAR5
2.5,1,30,F,2,3434,5017,0.684472793,7649,4461,1.714637974,9702,3937,2.464312929,y,hTAAR5
2.5,1,32.5,G,2,3149,5059,0.622455031,6990,4572,1.528871391,9271,3927,2.360835243,y,hTAAR5
3.75,0.5,22.5,H,2,2575,3730,0.690348525,6077,3338,1.820551228,9064,3136,2.890306122,y,hTAAR5
3.75,0.5,25,A,3,3119,3897,0.800359251,7255,3359,2.159869009,10474,3165,3.309320695,y,hTAAR5
3.75,0.5,27.5,B,3,2784,3434,0.810716366,8060,3297,2.444646648,11783,2836,4.154795487,y,hTAAR5
3.75,0.5,30,C,3,3410,3231,1.055400805,8289,2846,2.912508784,11499,2340,4.914102564,y,hTAAR5
3.75,0.5,32.5,D,3,3219,2625,1.226285714,7151,2507,2.852413243,10778,2107,5.115329853,y,hTAAR5
3.75,0.75,22.5,E,3,2912,4628,0.629213483,7272,4143,1.755249819,9239,3641,2.537489701,y,hTAAR5
3.75,0.75,25,F,3,3657,4211,0.868439801,7725,3743,2.063852525,10743,3464,3.101327945,y,hTAAR5
3.75,0.75,27.5,G,3,4681,4728,0.990059222,7832,3927,1.994397759,10835,3526,3.072887124,y,hTAAR5
3.75,0.75,30,H,3,4091,4248,0.963041431,8080,3641,2.219170558,10407,3641,2.858280692,y,hTAAR5
3.75,0.75,32.5,A,4,3420,3995,0.856070088,7758,3504,2.214041096,11333,3157,3.589800443,y,hTAAR5
3.75,1,22.5,B,4,3176,6195,0.512671509,7969,5184,1.537229938,11486,4639,2.475964648,y,hTAAR5
3.75,1,25,C,4,3237,5518,0.586625589,7310,4879,1.49825784,10549,4504,2.34214032,y,hTAAR5
3.75,1,27.5,D,4,4393,6020,0.729734219,7606,5012,1.517557861,10521,4671,2.252408478,y,hTAAR5
3.75,1,30,E,4,4711,5547,0.849287903,7429,5060,1.468181818,10452,4514,2.315463004,y,hTAAR5
3.75,1,32.5,F,4,3808,4563,0.834538681,7897,4477,1.7639044,10976,4358,2.518586508,y,hTAAR5
5,0.5,22.5,G,4,2780,3097,0.89764288,7274,2690,2.704089219,8486,2614,3.246365723,y,hTAAR5
5,0.5,25,H,4,3826,3178,1.203901825,7428,2985,2.488442211,10312,2589,3.983005021,y,hTAAR5
5,0.5,27.5,A,5,976,3357,0.290735776,1162,2621,0.443342236,1386,2698,0.513713862,y,hTAAR5
5,0.5,30,B,5,3267,2768,1.180274566,8904,2396,3.716193656,12666,1967,6.439247585,y,hTAAR5
5,0.5,32.5,C,5,3233,2723,1.187293426,8258,2264,3.647526502,10813,1776,6.088400901,y,hTAAR5
5,0.75,22.5,D,5,2756,4591,0.600304944,7423,4023,1.845140442,8665,3201,2.706966573,y,hTAAR5
5,0.75,25,E,5,3114,4698,0.662835249,7242,4198,1.725107194,9410,3739,2.516715699,y,hTAAR5
5,0.75,27.5,F,5,3100,4180,0.741626794,8720,3784,2.304439746,10828,3468,3.122260669,y,hTAAR5
5,0.75,30,G,5,3485,4039,0.862837336,8349,3135,2.663157895,11051,3049,3.624467038,y,hTAAR5
5,0.75,32.5,H,5,4508,3933,1.14619883,8319,3385,2.45760709,11184,3177,3.520302172,y,hTAAR5
5,1,22.5,A,6,3102,5933,0.522838362,6769,5044,1.341990484,10005,4416,2.265625,y,hTAAR5
5,1,25,B,6,2944,5581,0.527504032,7505,4652,1.613284609,10851,4568,2.375437828,y,hTAAR5
5,1,27.5,C,6,4138,5571,0.742775085,7805,4626,1.687202767,10680,4298,2.484876687,y,hTAAR5
5,1,30,D,6,3761,5226,0.719670876,7258,4860,1.493415638,9494,4365,2.175028637,y,hTAAR5
5,1,32.5,E,6,3791,4975,0.76201005,7579,4476,1.693252904,10796,3912,2.759713701,y,hTAAR5
5,0.5,22.5,F,6,339,3401,0.099676566,524,2924,0.179206566,577,2630,0.219391635,n,Rho
5,0.5,25,G,6,334,3363,0.099316087,580,2799,0.207216863,562,2511,0.223815213,n,Rho
5,0.5,27.5,H,6,533,3445,0.154716981,724,3047,0.237610765,677,2840,0.238380282,n,Rho
5,0.5,30,A,7,492,3190,0.154231975,736,2825,0.260530973,809,2451,0.330069359,n,Rho
5,0.5,32.5,B,7,713,2985,0.238860972,853,2367,0.360371779,995,2222,0.447794779,n,Rho
5,0.75,22.5,C,7,337,4998,0.067426971,468,3850,0.121558442,479,3654,0.131089217,n,Rho
5,0.75,25,D,7,354,4503,0.078614257,562,3939,0.142675806,651,3643,0.178698875,n,Rho
5,0.75,27.5,E,7,465,4426,0.105061003,662,3679,0.179940201,652,3248,0.200738916,n,Rho
5,0.75,30,F,7,529,4766,0.110994545,647,3445,0.187808418,700,3262,0.214592275,n,Rho
5,0.75,32.5,G,7,583,4186,0.13927377,914,3655,0.250068399,770,3257,0.236413878,n,Rho
5,1,22.5,H,7,278,5533,0.050243991,350,5115,0.068426197,335,4654,0.071981092,n,Rho
5,1,25,A,8,246,6460,0.038080495,470,5711,0.082297321,459,5089,0.090194537,n,Rho
5,1,27.5,B,8,342,5439,0.062879206,607,4581,0.13250382,606,4688,0.129266212,n,Rho
5,1,30,C,8,494,5090,0.097053045,671,4143,0.161959932,676,4289,0.157612497,n,Rho
5,1,32.5,D,8,511,5247,0.097388984,803,4054,0.198075974,756,4055,0.186436498,n,Rho
5,5,10,E,8,2053,8852,0.231924989,4399,8016,0.548777445,5695,6903,0.825003622,n,hTAAR5
5,5,10,F,8,1588,9719,0.163391295,4116,7867,0.52319817,5466,7872,0.694359756,n,hTAAR5
5,5,10,G,8,116,9320,0.012446352,192,8368,0.022944551,171,8338,0.020508515,n,Rho
5,5,10,H,8,129,8892,0.014507422,174,8324,0.020903412,211,8003,0.026365113,n,Rho
2.5,0.5,22.5,A,1,2252,4308,0.522748375,5425,3669,1.478604524,7521,3374,2.22910492,y,hTAAR5
2.5,0.5,25,B,1,2371,3523,0.673005961,6407,2915,2.197941681,10377,2483,4.179218687,y,hTAAR5
2.5,0.5,27.5,C,1,2668,3424,0.779205607,6356,2703,2.351461339,9194,2371,3.877688739,y,hTAAR5
2.5,0.5,30,D,1,2724,2901,0.938986556,4729,2435,1.942094456,7381,2031,3.634170359,y,hTAAR5
2.5,0.5,32.5,E,1,2884,2562,1.12568306,5330,1837,2.901469788,7750,1847,4.195993503,y,hTAAR5
2.5,0.75,22.5,F,1,2995,5090,0.588408644,5595,3967,1.410385682,8870,3654,2.427476738,y,hTAAR5
2.5,0.75,25,G,1,3652,5095,0.716781158,5113,4305,1.187688734,9821,3776,2.600900424,y,hTAAR5
2.5,0.75,27.5,H,1,4113,4627,0.888912903,6076,3905,1.555953905,10227,3865,2.646054334,y,hTAAR5
2.5,0.75,30,A,2,2458,4633,0.530541766,5118,3972,1.288519637,8078,3675,2.198095238,y,hTAAR5
2.5,0.75,32.5,B,2,3257,4118,0.790917921,7063,3613,1.954885137,10272,3261,3.149954002,y,hTAAR5
2.5,1,22.5,C,2,3431,5771,0.594524346,6877,5368,1.281110283,9470,5307,1.784435651,y,hTAAR5
2.5,1,25,D,2,3615,5764,0.627168633,6554,4888,1.340834697,8789,4293,2.04728628,y,hTAAR5
2.5,1,27.5,E,2,4210,5684,0.740675581,8148,4965,1.641087613,11126,4522,2.460415745,y,hTAAR5
2.5,1,30,F,2,4546,5437,0.836122862,7284,4433,1.643131062,10568,4324,2.444033302,y,hTAAR5
2.5,1,32.5,G,2,4528,5186,0.873119938,7047,4364,1.614802933,10016,4271,2.345118239,y,hTAAR5
3.75,0.5,22.5,H,2,4011,4078,0.983570378,7019,3271,2.145826964,8887,3046,2.917596848,y,hTAAR5
3.75,0.5,25,A,3,2995,3882,0.771509531,6628,3258,2.034376918,10132,3184,3.182160804,y,hTAAR5
3.75,0.5,27.5,B,3,3548,3783,0.937879989,8266,2989,2.765473402,11844,3018,3.92445328,y,hTAAR5
3.75,0.5,30,C,3,4297,3077,1.396490088,7543,2557,2.949941338,10965,2629,4.170787372,y,hTAAR5
3.75,0.5,32.5,D,3,4257,2758,1.54350979,7129,2053,3.472479299,9373,2343,4.000426803,y,hTAAR5
3.75,0.75,22.5,E,3,4397,4900,0.897346939,7454,4069,1.83189973,10400,3767,2.760817627,y,hTAAR5
3.75,0.75,25,F,3,4437,4653,0.953578337,7382,3922,1.882202958,10721,3676,2.91648531,y,hTAAR5
3.75,0.75,27.5,G,3,5101,4583,1.113026402,8794,4105,2.14226553,11770,3779,3.114580577,y,hTAAR5
3.75,0.75,30,H,3,4870,4705,1.035069075,8174,3999,2.044011003,11037,3892,2.835817061,y,hTAAR5
3.75,0.75,32.5,A,4,3164,3990,0.792982456,7165,3499,2.047727922,10601,3359,3.155998809,y,hTAAR5
3.75,1,22.5,B,4,3961,5600,0.707321429,8091,4960,1.63125,11839,4769,2.482491088,y,hTAAR5
3.75,1,25,C,4,4465,5740,0.777874564,8339,4870,1.712320329,11806,4551,2.594155131,y,hTAAR5
3.75,1,27.5,D,4,4959,5762,0.860638667,9022,4813,1.874506545,11000,5101,2.156439914,y,hTAAR5
3.75,1,30,E,4,5207,5373,0.969104783,8295,4860,1.706790123,12706,4592,2.766986063,y,hTAAR5
3.75,1,32.5,F,4,5539,5498,1.007457257,9168,4456,2.057450628,12730,4740,2.685654008,y,hTAAR5
