Row,Column,Receptor,SV40,CRE,TMA_30_luc,TMA_100_luc,TMA_300_luc,TMA_30_RL,TMA_100_RL,TMA_300_RL,TMA_30_norm,TMA_100_norm,TMA_300_norm,,,,,,,,,,,,,
A,1,5,15,2.5,52,121,143,5472,4855,5482,0.009502924,0.02492276,0.02608537,,,,,,,,,,,,,
B,1,5,15,5,171,224,322,7663,7571,7586,0.02231502,0.02958658,0.042446612,,,,,,,,,,,,,
C,1,5,15,10,374,615,878,8866,8883,9046,0.042183623,0.069233367,0.097059474,,,,,,,,,,,,,
D,1,5,15,20,1200,1481,1810,7135,7426,6873,0.168185004,0.19943442,0.263349338,,,,,,,,,,,,,
E,1,5,2.5,2.5,134,196,207,621,595,645,0.215780998,0.329411765,0.320930233,,,,,,,,,,,,,
F,1,5,2.5,5,153,248,310,869,722,844,0.176064442,0.343490305,0.367298578,,,,,,,,,,,,,
G,1,5,2.5,10,391,578,822,80,71,64,4.8875,8.14084507,12.84375,,,,,,,,,,,,,
H,1,5,2.5,20,770,1168,2059,629,527,584,1.224165342,2.216318786,3.525684932,,,,,,,,,,,,,
A,2,5,5,2.5,58,97,206,1688,1671,1691,0.03436019,0.058049072,0.121821407,,,,,,,,,,,,,
B,2,5,5,5,81,158,155,3696,3546,3461,0.021915584,0.044557248,0.044784744,,,,,,,,,,,,,
C,2,5,5,10,468,608,963,4334,4201,4085,0.107983387,0.144727446,0.235740514,,,,,,,,,,,,,
D,2,5,5,20,879,816,1318,3231,3324,3248,0.272051996,0.245487365,0.405788177,,,,,,,,,,,,,
E,2,5,10,2.5,52,81,129,6378,6320,6196,0.008153026,0.012816456,0.020819884,,,,,,,,,,,,,
F,2,5,10,5,210,282,376,8478,7710,8178,0.024769993,0.036575875,0.045977011,,,,,,,,,,,,,
G,2,5,10,10,476,490,853,7978,7782,7834,0.059664076,0.062965819,0.10888435,,,,,,,,,,,,,
H,2,5,10,20,1020,1322,1796,6666,8384,6952,0.153015302,0.157681298,0.258342923,,,,,,,,,,,,,
A,3,10,15,2.5,108,230,314,7288,7098,7139,0.01481888,0.032403494,0.043983751,,,,,,,,,,,,,
B,3,10,15,5,225,294,508,7113,6225,6618,0.031632223,0.047228916,0.076760351,,,,,,,,,,,,,
C,3,10,15,10,697,602,1316,7845,7941,7519,0.088846399,0.075809092,0.175023274,,,,,,,,,,,,,
D,3,10,15,20,1650,1918,2823,7750,8868,7478,0.212903226,0.216283266,0.377507355,,,,,,,,,,,,,
E,3,10,2.5,2.5,89,125,217,507,471,444,0.175542406,0.265392781,0.488738739,,,,,,,,,,,,,
F,3,10,2.5,5,199,291,554,632,634,651,0.314873418,0.458990536,0.850998464,,,,,,,,,,,,,
G,3,10,2.5,10,429,733,912,1001,828,917,0.428571429,0.8852657,0.994547437,,,,,,,,,,,,,
H,3,10,2.5,20,897,1398,1856,597,689,632,1.502512563,2.029027576,2.936708861,,,,,,,,,,,,,
A,4,10,5,2.5,73,118,124,1884,1528,1713,0.038747346,0.077225131,0.072387624,,,,,,,,,,,,,
B,4,10,5,5,231,321,564,3724,3599,3261,0.062030075,0.089191442,0.172953082,,,,,,,,,,,,,
C,4,10,5,10,669,598,1033,4334,4020,3689,0.154360868,0.148756219,0.280021686,,,,,,,,,,,,,
D,4,10,5,20,1271,1312,1624,2322,2362,2058,0.547372954,0.555461473,0.789115646,,,,,,,,,,,,,
E,4,10,10,2.5,62,51,77,5704,5542,5218,0.010869565,0.009202454,0.014756612,,,,,,,,,,,,,
F,4,10,10,5,258,355,581,7941,6869,7143,0.032489611,0.051681467,0.081338373,,,,,,,,,,,,,
G,4,10,10,10,705,815,1503,7947,6034,7471,0.088712722,0.135067948,0.201177888,,,,,,,,,,,,,
H,4,10,10,20,1108,1628,1992,6812,5912,6122,0.16265414,0.275372124,0.325383861,,,,,,,,,,,,,
A,5,15,15,2.5,21,19,24,8246,7944,8414,0.002546689,0.002391742,0.002852389,,,,,,,,,,,,,
B,5,15,15,5,340,450,460,9281,8037,7755,0.036633983,0.055991041,0.05931657,,,,,,,,,,,,,
C,5,15,15,10,1043,1496,2207,9357,8964,8882,0.111467351,0.166889781,0.248480072,,,,,,,,,,,,,
D,5,15,15,20,939,842,919,9085,8921,8354,0.103357182,0.094384038,0.110007182,,,,,,,,,,,,,
E,5,15,2.5,2.5,108,153,195,1480,1014,1219,0.072972973,0.150887574,0.159967186,,,,,,,,,,,,,
F,5,15,2.5,5,62,36,67,1390,1064,1544,0.044604317,0.033834586,0.043393782,,,,,,,,,,,,,
G,5,15,2.5,10,1194,1842,2695,3887,3757,3502,0.307177772,0.490284802,0.769560251,,,,,,,,,,,,,
H,5,15,2.5,20,1375,2123,2476,1748,2170,1469,0.786613272,0.978341014,1.68550034,,,,,,,,,,,,,
A,6,15,5,2.5,75,170,182,3951,4056,3571,0.018982536,0.041913215,0.050966116,,,,,,,,,,,,,
B,6,15,5,5,337,333,339,3972,3649,3470,0.084843907,0.091257879,0.097694524,,,,,,,,,,,,,
C,6,15,5,10,1386,1770,2766,6121,5851,5157,0.226433589,0.302512391,0.536358348,,,,,,,,,,,,,
D,6,15,5,20,955,739,823,5021,5157,4303,0.190201155,0.143300368,0.19126191,,,,,,,,,,,,,
E,6,15,10,2.5,154,162,343,8871,3305,8291,0.017359937,0.049016641,0.04137016,,,,,,,,,,,,,
F,6,15,10,5,643,886,1369,9050,8306,7988,0.071049724,0.106669877,0.171382073,,,,,,,,,,,,,
G,6,15,10,10,909,1947,2594,8686,8226,8126,0.104651163,0.236688549,0.31922225,,,,,,,,,,,,,
H,6,15,10,20,2298,3512,3975,7193,7109,7294,0.31947727,0.494021663,0.544968467,,,,,,,,,,,,,
A,7,20,15,2.5,97,142,149,8079,7879,8799,0.012006436,0.018022592,0.016933742,,,,,,,,,,,,,
B,7,20,15,5,467,328,725,7761,8186,8443,0.060172658,0.040068409,0.085869951,,,,,,,,,,,,,
C,7,20,15,10,1454,1541,2432,7959,8403,8293,0.182686267,0.183386886,0.293259375,,,,,,,,,,,,,
D,7,20,15,20,1908,2654,4163,7991,8058,7822,0.238768615,0.329362125,0.532216824,,,,,,,,,,,,,
E,7,20,2.5,2.5,156,197,280,3312,3175,3381,0.047101449,0.062047244,0.082815735,,,,,,,,,,,,,
F,7,20,2.5,5,944,993,1386,2296,2386,2508,0.411149826,0.416177703,0.552631579,,,,,,,,,,,,,
G,7,20,2.5,10,1768,1855,3034,3228,3104,3315,0.547707559,0.597615979,0.915233786,,,,,,,,,,,,,
H,7,20,2.5,20,2832,2423,4486,2761,2659,2789,1.025715321,0.911244829,1.608461814,,,,,,,,,,,,,
A,8,20,5,2.5,169,103,303,4356,5052,4736,0.038797062,0.020387965,0.063978041,,,,,,,,,,,,,
B,8,20,5,5,578,470,1021,5025,5423,5277,0.115024876,0.086667896,0.193481145,,,,,,,,,,,,,
C,8,20,5,10,1374,1207,3017,4719,5582,5280,0.291163382,0.216230742,0.571401515,,,,,,,,,,,,,
D,8,20,5,20,2852,1936,4621,4850,6560,5693,0.588041237,0.295121951,0.811698577,,,,,,,,,,,,,
E,8,20,10,2.5,217,254,492,7044,8112,7078,0.03080636,0.031311637,0.069511161,,,,,,,,,,,,,
F,8,20,10,5,856,558,1343,7334,7128,7310,0.116716662,0.078282828,0.18372093,,,,,,,,,,,,,
G,8,20,10,10,1368,891,2736,7082,7075,7280,0.193165772,0.125936396,0.375824176,,,,,,,,,,,,,
H,8,20,10,20,2717,996,4124,6245,5498,6704,0.435068054,0.181156784,0.615155131,,,,,,,,,,,,,
A,9,25,15,2.5,94,178,218,7675,7328,7087,0.012247557,0.024290393,0.030760547,,,,,,,,,,,,,
B,9,25,15,5,538,702,985,8388,6952,7386,0.064139247,0.100978136,0.133360412,,,,,,,,,,,,,
C,9,25,15,10,1088,1891,2239,7795,7522,7515,0.139576652,0.251395905,0.297937458,,,,,,,,,,,,,
D,9,25,15,20,2267,3572,3901,7667,6397,7191,0.295682796,0.558386744,0.54248366,,,,,,,,,,,,,
E,9,25,2.5,2.5,89,106,147,168,120,127,0.529761905,0.883333333,1.157480315,,,,,,,,,,,,,
F,9,25,2.5,5,622,945,1177,3808,3005,3247,0.163340336,0.314475874,0.362488451,,,,,,,,,,,,,
G,9,25,2.5,10,1363,2023,2924,3304,2907,3048,0.412530266,0.695906433,0.959317585,,,,,,,,,,,,,
H,9,25,2.5,20,2387,2567,4526,3108,2754,2578,0.768018018,0.932098765,1.755624515,,,,,,,,,,,,,
A,10,25,5,2.5,132,211,275,4906,4314,4686,0.02690583,0.048910524,0.058685446,,,,,,,,,,,,,
B,10,25,5,5,507,808,961,5861,4818,5109,0.08650401,0.167704442,0.188099432,,,,,,,,,,,,,
C,10,25,5,10,1253,2252,2906,5495,5244,5274,0.228025478,0.429443173,0.55100493,,,,,,,,,,,,,
D,10,25,5,20,1694,3401,4033,5308,4809,5006,0.319140919,0.707215637,0.80563324,,,,,,,,,,,,,
