Row,Column,Receptor,SV40,CRE,TMA_30_luc,TMA_30_RL,TMA_30_norm,TMA_100_luc,TMA_100_RL,TMA_100_norm,TMA_300_luc,TMA_300_RL,TMA_300_norm
A,1,10,2.5,10,1051,3882,0.270736734,2494,2830,0.881272085,3636,2607,1.394706559
B,1,10,2.5,15,1952,2706,0.721359941,4645,2091,2.221425155,5762,2062,2.794374394
C,1,10,2.5,20,3367,2163,1.556634304,6154,1598,3.85106383,7527,1233,6.104622871
D,1,10,5,10,1548,4437,0.348884381,3311,4206,0.787208749,4176,3720,1.122580645
E,1,10,5,15,2612,3124,0.836107554,4315,3002,1.437375083,5910,2875,2.055652174
F,1,10,5,20,3428,3099,1.106163278,5527,3222,1.715394165,6986,2486,2.810136766
G,1,10,10,10,1129,6007,0.187947395,2390,6075,0.393415638,2880,5450,0.528440367
H,1,10,10,15,1804,6214,0.290312198,3802,5679,0.669484064,4206,5449,0.771884749
A,2,10,10,20,2618,7245,0.361352657,5058,6324,0.799810247,7394,5632,1.312855114
B,2,10,15,10,1326,11699,0.113343021,2763,9467,0.291855921,3429,9949,0.344657755
C,2,10,15,15,2200,11235,0.195816644,4016,9496,0.422914912,5765,8851,0.651338832
D,2,10,15,20,3522,10025,0.351321696,5001,8748,0.571673525,6181,8535,0.724194493
E,2,15,2.5,10,1258,2587,0.486277542,2405,2064,1.165213178,3066,2223,1.379217274
F,2,15,2.5,15,2137,2168,0.985701107,3971,1797,2.209794101,5048,1572,3.211195929
G,2,15,2.5,20,3143,1364,2.304252199,5606,1140,4.91754386,6857,1118,6.133273703
H,2,15,5,10,1168,3270,0.357186544,2107,3195,0.659467919,2470,3016,0.818965517
A,3,15,5,15,1804,4375,0.412342857,3492,3059,1.141549526,4603,3252,1.415436654
B,3,15,5,20,2618,2793,0.937343358,5213,2123,2.455487518,6670,2028,3.288954635
C,3,15,10,10,1186,6945,0.170770338,2031,5514,0.368335147,2640,5646,0.467587673
D,3,15,10,15,1858,6360,0.292138365,2997,5742,0.521943574,3822,6168,0.619649805
E,3,15,10,20,2806,6142,0.456854445,4506,5368,0.839418778,5180,4930,1.050709939
F,3,15,15,10,1017,8929,0.113898533,1837,7823,0.234820401,2398,8144,0.294449902
G,3,15,15,15,2175,9349,0.232645203,3105,8211,0.378151261,4260,7773,0.548050946
H,3,15,15,20,2750,9135,0.301039956,3815,8239,0.463041631,4883,8349,0.584860462
A,4,20,2.5,10,923,2456,0.375814332,1903,1904,0.99947479,2587,1712,1.511098131
B,4,20,2.5,15,1630,1771,0.920383964,2980,1400,2.128571429,4343,1274,3.408948195
C,4,20,2.5,20,2686,1639,1.638804149,4066,1223,3.324611611,6152,1375,4.474181818
D,4,20,5,10,812,3529,0.230093511,1732,2800,0.618571429,2088,2447,0.853289743
E,4,20,5,15,1739,3170,0.548580442,2526,2646,0.954648526,4205,2361,1.781024989
F,4,20,5,20,2245,2330,0.963519313,3385,2130,1.589201878,5082,1862,2.729323308
