Receptor,SV40,CRE,Row,Column,TMA_30_luc,TMA_30_RL,TMA_30_norm,TMA_100_luc,TMA_100_RL,TMA_100_norm,TMA_300_luc,TMA_300_RL,TMA_300_norm,UseforRSM
15,1,17.5,A,1,2567,1180,2.175423729,4297,1250,3.4376,5452,1350,4.038518519,y
15,1,20.625,B,1,4167,1400,2.976428571,6036,1417,4.259703599,8563,1678,5.103098927,y
15,1,23.75,C,1,4772,1432,3.332402235,6027,1554,3.878378378,8011,1731,4.627960716,y
15,1,26.875,D,1,4695,1491,3.14889336,6643,1434,4.632496513,9215,1718,5.363795111,y
15,1,30,E,1,4764,1648,2.890776699,7278,1486,4.897711978,9515,1588,5.991813602,y
15,1.5,17.5,F,1,2875,2138,1.344714687,4955,2034,2.436086529,5606,2199,2.549340609,y
15,1.5,20.625,G,1,3288,1908,1.72327044,4954,1931,2.565510098,6096,2229,2.734858681,y
15,1.5,23.75,H,1,2962,1775,1.668732394,5002,1973,2.535225545,7420,2042,3.633692458,y
15,1.5,26.875,A,2,3856,1867,2.065345474,6858,1694,4.048406139,9007,1878,4.796059638,y
15,1.5,30,B,2,4325,1985,2.17884131,6956,1751,3.972587093,8872,2001,4.433783108,y
15,2,17.5,C,2,2689,2255,1.192461197,4366,2160,2.021296296,5731,2402,2.385928393,y
15,2,20.625,D,2,3324,2153,1.543892243,5753,2159,2.664659565,6755,2387,2.829912023,y
15,2,23.75,E,2,4232,2134,1.983130272,6506,2336,2.78510274,7604,2361,3.220669208,y
15,2,26.875,F,2,3305,2385,1.385744235,5782,2436,2.373563218,8145,2268,3.591269841,y
15,2,30,G,2,4254,2178,1.953168044,5976,2174,2.748850046,8422,2347,3.588410737,y
15,2.5,17.5,H,2,2253,2558,0.880766224,3539,2398,1.475813178,4397,2823,1.557562876,y
15,2.5,20.625,A,3,2812,2510,1.120318725,6006,2353,2.552486188,7093,2372,2.990303541,y
15,2.5,23.75,B,3,2994,2439,1.227552276,5189,2424,2.140676568,7283,2492,2.922552167,y
15,2.5,26.875,C,3,4121,2266,1.818623124,6334,2306,2.746747615,7640,2485,3.07444668,y
15,2.5,30,D,3,4364,2458,1.775427177,6250,2311,2.704456945,7563,2492,3.034911717,y
15,3,17.5,E,3,2268,2739,0.82803943,3818,2433,1.569256062,4910,2699,1.819192293,y
15,3,20.625,F,3,2853,2900,0.983793103,5015,2582,1.942292796,6337,2982,2.125083836,y
15,3,23.75,G,3,3120,2663,1.171610965,5140,2650,1.939622642,6058,2839,2.133849947,y
15,3,26.875,H,3,4219,2796,1.508941345,6329,2857,2.215260763,7941,3320,2.39186747,y
15,3,30,A,4,3873,2427,1.595797281,7463,2330,3.203004292,8606,2560,3.36171875,y
5,5,10,B,4,471,3524,0.133654938,592,3920,0.151020408,788,4064,0.193897638,n
5,5,10,C,4,2279,3649,0.624554673,4287,3603,1.189841799,5632,3967,1.419712629,n
5,5,10,D,4,2178,4011,0.543006731,3527,3860,0.91373057,5686,4279,1.328815144,n
5,5,10,E,4,2131,3741,0.569633788,3891,3938,0.988065008,5191,3839,1.352175046,n
5,5,10,F,4,1885,3573,0.52756787,3356,3642,0.921471719,5132,4416,1.162137681,n
5,5,10,G,4,2407,4024,0.598161034,4303,3826,1.124673288,5642,4166,1.354296687,n
5,5,10,H,4,1844,3754,0.491209377,3677,3798,0.968141127,4815,4687,1.02730958,n
17.5,1,17.5,A,5,2661,1521,1.749506903,4632,1281,3.615925059,5244,1379,3.80275562,y
17.5,1,20.625,B,5,3542,1307,2.710022953,5278,1252,4.215654952,7269,1365,5.325274725,y
17.5,1,23.75,C,5,3504,1469,2.38529612,6323,1208,5.234271523,7662,1441,5.317140874,y
17.5,1,26.875,D,5,3485,1413,2.466383581,5221,1239,4.213882163,7668,1247,6.149157979,y
17.5,1,30,E,5,4416,1344,3.285714286,6726,1244,5.406752412,9324,1251,7.45323741,y
17.5,1.5,17.5,F,5,2674,1743,1.534136546,4085,1617,2.526283241,4622,1738,2.659378596,y
17.5,1.5,20.625,G,5,4961,1821,2.724327293,6911,1748,3.953661327,8683,2000,4.3415,y
17.5,1.5,23.75,H,5,3552,1987,1.787619527,5167,1996,2.588677355,6652,2223,2.992352677,y
17.5,1.5,26.875,A,6,3826,1686,2.269276394,6137,1701,3.607877719,7929,1605,4.940186916,y
17.5,1.5,30,B,6,4543,1628,2.790540541,6809,1394,4.884505022,9761,1633,5.977342315,y
17.5,2,17.5,C,6,2432,2015,1.206947891,3679,1914,1.92215256,4590,2043,2.246696035,y
17.5,2,20.625,D,6,2737,2106,1.299620133,4156,1899,2.188520274,5913,1779,3.323777403,y
17.5,2,23.75,E,6,3211,1820,1.764285714,4535,1864,2.432939914,6220,2140,2.906542056,y
17.5,2,26.875,F,6,3639,2213,1.644374153,5341,2054,2.600292113,7287,1985,3.671032746,y
17.5,2,30,G,6,4314,2098,2.056244042,6903,1846,3.73943662,7678,2157,3.559573482,y
17.5,2.5,17.5,H,6,2238,2335,0.958458244,3359,2366,1.419695689,3644,2734,1.332845647,y
17.5,2.5,20.625,A,7,2799,2300,1.216956522,4604,2213,2.0804338,5686,2182,2.605866178,y
17.5,2.5,23.75,B,7,3184,2283,1.394656154,5128,2238,2.291331546,7105,2388,2.975293132,y
17.5,2.5,26.875,C,7,3634,2204,1.648820327,5387,2204,2.444192377,7584,2204,3.441016334,y
17.5,2.5,30,D,7,4204,2375,1.770105263,5668,2228,2.543985637,8535,2341,3.64587783,y
17.5,3,17.5,E,7,2514,2564,0.98049922,3602,2819,1.27775807,5334,2772,1.924242424,y
17.5,3,20.625,F,7,2658,2690,0.988104089,3951,2413,1.637380854,5151,2808,1.834401709,y
17.5,3,23.75,G,7,2805,2917,0.961604388,4700,2497,1.88225871,5954,2796,2.129470672,y
17.5,3,26.875,H,7,3619,2633,1.374477782,5243,2581,2.031383185,7496,3203,2.340305963,y
17.5,3,30,A,8,3792,2500,1.5168,5613,2351,2.387494683,6991,2571,2.719175418,y
5,5,10,B,8,1880,3547,0.530025374,3246,4038,0.803863299,5816,4251,1.368148671,n
5,5,10,C,8,2375,3867,0.614171192,3188,3896,0.818275154,5759,4073,1.413945495,n
5,5,10,D,8,1735,3747,0.463037096,3062,3677,0.832744085,5167,4212,1.226733143,n
5,5,10,E,8,1394,3515,0.39658606,2718,3786,0.717908082,4361,4549,0.958672236,n
5,5,10,F,8,1781,4133,0.430921849,3118,3767,0.827714362,4655,4506,1.033067022,n
5,5,10,G,8,2278,3440,0.662209302,3783,4017,0.941747573,5648,3818,1.479308539,n
5,5,10,H,8,240,983,0.24415056,3092,3593,0.860562204,5280,4557,1.158657011,n
15,1,17.5,,,2837,1755,1.616524217,4287,1568,2.734056122,5718,1672,3.419856459,y
15,1,20.625,,,3943,1656,2.381038647,6265,1531,4.092096669,8798,1740,5.056321839,y
15,1,23.75,,,4842,1712,2.828271028,5733,1622,3.534525277,7901,1779,4.441259134,y
15,1,26.875,,,4907,1560,3.145512821,6171,1544,3.996761658,8280,1796,4.610244989,y
15,1,30,,,5500,1503,3.659347971,7344,1660,4.424096386,9588,1957,4.899335718,y
15,1.5,17.5,,,2638,2328,1.133161512,4450,2386,1.865046102,5503,2570,2.141245136,y
15,1.5,20.625,,,3336,2158,1.545875811,4689,2146,2.18499534,5944,2662,2.232907588,y
15,1.5,23.75,,,4251,2102,2.022359657,5920,2244,2.638146168,6683,2749,2.431065842,y
15,1.5,26.875,,,4370,1959,2.230729964,6716,1916,3.505219207,9718,1856,5.235991379,y
15,1.5,30,,,4894,1983,2.467977811,7312,1904,3.840336134,9501,1832,5.186135371,y
15,2,17.5,,,2904,2315,1.254427646,4140,2391,1.731493099,5606,2385,2.350524109,y
15,2,20.625,,,3349,2421,1.383312681,5368,2441,2.19909873,7150,2684,2.663934426,y
15,2,23.75,,,4220,2334,1.808054841,6785,2388,2.841289782,8553,2732,3.130673499,y
15,2,26.875,,,4060,2628,1.544901065,5961,2395,2.488935282,7515,2625,2.862857143,y
15,2,30,,,3901,2431,1.604689428,6181,2418,2.55624483,7864,2783,2.825727632,y
15,2.5,17.5,,,2182,2972,0.734185734,3933,2587,1.520293777,4719,3018,1.56361829,y
15,2.5,20.625,,,3415,2419,1.411740389,4981,2524,1.973454834,7515,2537,2.962160032,y
15,2.5,23.75,,,3583,2502,1.432054357,5671,2421,2.342420487,6989,2618,2.669595111,y
15,2.5,26.875,,,3100,1284,2.414330218,5615,2258,2.486713906,7700,2647,2.908953532,y
15,2.5,30,,,4582,2209,2.074241738,6664,2458,2.711147274,8188,2383,3.436005036,y
15,3,17.5,,,2417,2301,1.050412864,3789,2887,1.312435054,4150,3279,1.265629765,y
15,3,20.625,,,3449,3249,1.061557402,4941,3051,1.619469027,5821,3400,1.712058824,y
15,3,23.75,,,3576,2702,1.323464101,4646,2777,1.673028448,5324,3272,1.627139364,y
15,3,26.875,,,4047,2941,1.376062564,6782,3313,2.047087232,7285,3574,2.038332401,y
15,3,30,,,5006,2500,2.0024,5884,2628,2.238964992,6777,2174,3.117295308,y
5,5,10,,,798,3419,0.233401579,703,4243,0.165684657,861,4182,0.205882353,n
5,5,10,,,2812,3472,0.809907834,3881,4096,0.947509766,4444,3973,1.118550214,n
5,5,10,,,2284,3623,0.630416782,4055,4262,0.951431253,5293,4220,1.254265403,n
5,5,10,,,2305,3247,0.709886049,3669,4297,0.853851524,4634,4099,1.130519639,n
5,5,10,,,2211,3894,0.56779661,3784,4227,0.89519754,5389,4350,1.238850575,n
5,5,10,,,2500,3839,0.651211253,4109,4211,0.975777725,5686,4537,1.253251047,n
5,5,10,,,2183,3316,0.658323281,4080,3862,1.056447437,5240,4529,1.156988298,n
17.5,1,17.5,,,3186,1012,3.148221344,3736,1155,3.234632035,5279,1350,3.91037037,y
17.5,1,20.625,,,3580,1081,3.311748381,5166,1125,4.592,6750,1564,4.315856777,y
17.5,1,23.75,,,4121,1186,3.47470489,5679,1341,4.234899329,7414,1504,4.929521277,y
17.5,1,26.875,,,4709,1252,3.761182109,5880,1132,5.19434629,7923,1545,5.12815534,y
17.5,1,30,,,4931,1175,4.196595745,7503,1193,6.289186924,8503,1442,5.89667129,y
17.5,1.5,17.5,,,2709,1461,1.854209446,3566,1570,2.27133758,4312,1800,2.395555556,y
17.5,1.5,20.625,,,4916,1567,3.13720485,7060,1660,4.253012048,8729,1904,4.584558824,y
17.5,1.5,23.75,,,3563,1550,2.298709677,4504,1744,2.582568807,5325,1855,2.870619946,y
