Receptor,SV40,CRE,Row,Column,masterMix,Plate,TMAConcentration,receptorType,Luc,RL,,,,
3.75,0.5,25,A,1,1,1,0,TAAR5,848,3238,,,,
3.75,0.5,25,B,1,1,1,1.37174E-06,TAAR5,1347,2645,,,,
3.75,0.5,25,C,1,1,1,4.11523E-06,TAAR5,2591,2750,,,,
3.75,0.5,25,D,1,1,1,1.23457E-05,TAAR5,6037,2508,,,,
3.75,0.5,25,E,1,1,1,3.7037E-05,TAAR5,10161,2387,,,,
3.75,0.5,25,F,1,1,1,0.000111111,TAAR5,14885,2271,,,,
3.75,0.5,25,G,1,1,1,0.000333333,TAAR5,15158,2155,,,,
3.75,0.5,25,H,1,1,1,0.001,TAAR5,15858,2190,,,,
3.75,0.5,25,A,2,1,1,0,TAAR5,904,3050,,,,
3.75,0.5,25,B,2,1,1,1.37174E-06,TAAR5,1238,2516,,,,
3.75,0.5,25,C,2,1,1,4.11523E-06,TAAR5,3124,2436,,,,
3.75,0.5,25,D,2,1,1,1.23457E-05,TAAR5,6398,2237,,,,
3.75,0.5,25,E,2,1,1,3.7037E-05,TAAR5,11031,2231,,,,
3.75,0.5,25,F,2,1,1,0.000111111,TAAR5,16255,1965,,,,
3.75,0.5,25,G,2,1,1,0.000333333,TAAR5,15853,1975,,,,
3.75,0.5,25,H,2,1,1,0.001,TAAR5,15485,1881,,,,
3.75,0.5,25,A,3,1,1,0,TAAR5,843,3254,,,,
3.75,0.5,25,B,3,1,1,1.37174E-06,TAAR5,1252,2522,,,,
3.75,0.5,25,C,3,1,1,4.11523E-06,TAAR5,2737,2488,,,,
3.75,0.5,25,D,3,1,1,1.23457E-05,TAAR5,6408,2013,,,,
3.75,0.5,25,E,3,1,1,3.7037E-05,TAAR5,10244,1896,,,,
3.75,0.5,25,F,3,1,1,0.000111111,TAAR5,15222,1924,,,,
3.75,0.5,25,G,3,1,1,0.000333333,TAAR5,14231,1905,,,,
3.75,0.5,25,H,3,1,1,0.001,TAAR5,14376,1851,,,,
3.75,0.5,25,A,4,1,1,0,Rho,744,2986,,,,
3.75,0.5,25,B,4,1,1,1.37174E-06,Rho,729,2607,,,,
3.75,0.5,25,C,4,1,1,4.11523E-06,Rho,839,2238,,,,
3.75,0.5,25,D,4,1,1,1.23457E-05,Rho,851,2193,,,,
3.75,0.5,25,E,4,1,1,3.7037E-05,Rho,929,2161,,,,
3.75,0.5,25,F,4,1,1,0.000111111,Rho,940,1944,,,,
3.75,0.5,25,G,4,1,1,0.000333333,Rho,940,2055,,,,
3.75,0.5,25,H,4,1,1,0.001,Rho,844,2096,,,,
3.75,0.5,25,A,5,1,1,0,Rho,682,2739,,,,
3.75,0.5,25,B,5,1,1,1.37174E-06,Rho,749,2367,,,,
3.75,0.5,25,C,5,1,1,4.11523E-06,Rho,743,2201,,,,
3.75,0.5,25,D,5,1,1,1.23457E-05,Rho,686,753,,,,
3.75,0.5,25,E,5,1,1,3.7037E-05,Rho,870,2007,,,,
3.75,0.5,25,F,5,1,1,0.000111111,Rho,1013,1988,,,,
3.75,0.5,25,G,5,1,1,0.000333333,Rho,850,2112,,,,
3.75,0.5,25,H,5,1,1,0.001,Rho,868,2067,,,,
3.75,0.5,25,A,6,1,1,0,Rho,664,3025,,,,
3.75,0.5,25,B,6,1,1,1.37174E-06,Rho,712,2431,,,,
3.75,0.5,25,C,6,1,1,4.11523E-06,Rho,821,2437,,,,
3.75,0.5,25,D,6,1,1,1.23457E-05,Rho,907,2102,,,,
3.75,0.5,25,E,6,1,1,3.7037E-05,Rho,899,2129,,,,
3.75,0.5,25,F,6,1,1,0.000111111,Rho,981,2009,,,,
3.75,0.5,25,G,6,1,1,0.000333333,Rho,975,2187,,,,
3.75,0.5,25,H,6,1,1,0.001,Rho,905,2107,,,,
5,0.5,25,A,7,2,1,0,TAAR5,776,3154,,,,
5,0.5,25,B,7,2,1,1.37174E-06,TAAR5,1216,2935,,,,
5,0.5,25,C,7,2,1,4.11523E-06,TAAR5,2416,2301,,,,
5,0.5,25,D,7,2,1,1.23457E-05,TAAR5,4798,2337,,,,
5,0.5,25,E,7,2,1,3.7037E-05,TAAR5,9023,2185,,,,
5,0.5,25,F,7,2,1,0.000111111,TAAR5,14485,2083,,,,
5,0.5,25,G,7,2,1,0.000333333,TAAR5,16669,1987,,,,
5,0.5,25,H,7,2,1,0.001,TAAR5,15764,2017,,,,
5,0.5,25,A,8,2,1,0,TAAR5,839,3509,,,,
5,0.5,25,B,8,2,1,1.37174E-06,TAAR5,1285,2796,,,,
5,0.5,25,C,8,2,1,4.11523E-06,TAAR5,2376,2511,,,,
