TMA Concentration,PlateLocation,Plate_number,luc,RL,norm,Receptor
0,A1,7,412,1758,0.234357224,830
1.37174E-06,B1,7,580,1768,0.328054299,830
4.11523E-06,C1,7,1007,1666,0.604441777,830
1.23457E-05,D1,7,2134,1617,1.319727891,830
3.7037E-05,E1,7,3165,1604,1.97319202,830
0.000111111,F1,7,4224,1542,2.739299611,830
0.000333333,G1,7,4202,1595,2.634482759,830
0.001,H1,7,3840,1571,2.444302992,830
0,A2,7,421,1737,0.242371906,830
1.37174E-06,B2,7,560,1557,0.359666024,830
4.11523E-06,C2,7,1115,1581,0.705249842,830
1.23457E-05,D2,7,2262,1485,1.523232323,830
3.7037E-05,E2,7,3269,1361,2.40191036,830
0.000111111,F2,7,4238,1312,3.230182927,830
0.000333333,G2,7,4600,1292,3.560371517,830
0.001,H2,7,4399,1402,3.137660485,830
0,A3,7,389,1680,0.231547619,830
1.37174E-06,B3,7,492,1454,0.338376891,830
4.11523E-06,C3,7,1110,1469,0.755616065,830
1.23457E-05,D3,7,2353,1411,1.667611623,830
3.7037E-05,E3,7,3613,1347,2.682256867,830
0.000111111,F3,7,4407,1293,3.408352668,830
0.000333333,G3,7,4621,1296,3.56558642,830
0.001,H3,7,4628,1349,3.4306894,830
0,A4,7,384,1710,0.224561404,830
1.37174E-06,B4,7,512,1466,0.349249659,830
4.11523E-06,C4,7,1081,1490,0.725503356,830
1.23457E-05,D4,7,2298,1368,1.679824561,830
3.7037E-05,E4,7,3476,1364,2.548387097,830
0.000111111,F4,7,4027,1289,3.12412723,830
0.000333333,G4,7,4298,1316,3.265957447,830
0.001,H4,7,4663,1289,3.617532971,830
0,A5,7,384,1734,0.221453287,830
1.37174E-06,B5,7,512,1540,0.332467532,830
4.11523E-06,C5,7,995,1516,0.656332454,830
1.23457E-05,D5,7,2338,1488,1.571236559,830
3.7037E-05,E5,7,3255,1361,2.391623806,830
0.000111111,F5,7,4019,1298,3.096302003,830
0.000333333,G5,7,4337,1394,3.111190818,830
0.001,H5,7,4523,1297,3.487278335,830
0,A6,7,365,1712,0.213200935,830
1.37174E-06,B6,7,552,1635,0.337614679,830
4.11523E-06,C6,7,988,1523,0.648719632,830
1.23457E-05,D6,7,2202,1429,1.540937719,830
3.7037E-05,E6,7,3361,1425,2.358596491,830
0.000111111,F6,7,3844,1421,2.705137227,830
0.000333333,G6,7,4221,1415,2.983038869,830
