TMA Concentration,PlateLocation,Plate_number,Luc,RL,norm,Receptor
0,A1,7,297,2435,0.121971253,830
1.37174E-06,B1,7,306,2320,0.131896552,830
4.11523E-06,C1,7,763,2016,0.378472222,830
1.23457E-05,D1,7,2382,2137,1.114646701,830
3.7037E-05,E1,7,4717,2140,2.204205607,830
0.000111111,F1,7,6305,2117,2.978271138,830
0.000333333,G1,7,6769,1985,3.410075567,830
0.001,H1,7,6680,2048,3.26171875,830
0,A2,7,267,2315,0.115334773,830
1.37174E-06,B2,7,340,2095,0.162291169,830
4.11523E-06,C2,7,909,2047,0.444064485,830
1.23457E-05,D2,7,2496,1834,1.360959651,830
3.7037E-05,E2,7,4404,2029,2.170527353,830
0.000111111,F2,7,5955,1937,3.074341766,830
0.000333333,G2,7,6838,1830,3.736612022,830
0.001,H2,7,6651,1996,3.332164329,830
0,A3,7,277,2106,0.131528965,830
1.37174E-06,B3,7,369,2024,0.182312253,830
4.11523E-06,C3,7,912,1896,0.481012658,830
1.23457E-05,D3,7,2576,1892,1.361522199,830
3.7037E-05,E3,7,4477,1845,2.426558266,830
0.000111111,F3,7,5507,1669,3.299580587,830
0.000333333,G3,7,6668,1876,3.554371002,830
0.001,H3,7,7222,1874,3.853788687,830
0,A4,7,258,2221,0.11616389,830
1.37174E-06,B4,7,342,2104,0.162547529,830
4.11523E-06,C4,7,1064,1933,0.550439731,830
1.23457E-05,D4,7,2637,1778,1.483127109,830
3.7037E-05,E4,7,4351,1738,2.503452244,830
0.000111111,F4,7,5970,1739,3.433007476,830
0.000333333,G4,7,6637,1922,3.453173777,830
0.001,H4,7,7029,1949,3.606464854,830
0,A5,7,246,2063,0.11924382,830
1.37174E-06,B5,7,340,2118,0.160528801,830
4.11523E-06,C5,7,885,1981,0.446744069,830
1.23457E-05,D5,7,2590,1742,1.486796785,830
3.7037E-05,E5,7,4647,1896,2.450949367,830
0.000111111,F5,7,6293,1782,3.531425365,830
0.000333333,G5,7,7034,1768,3.978506787,830
0.001,H5,7,7521,1853,4.058823529,830
0,A6,7,247,2080,0.11875,830
1.37174E-06,B6,7,352,2090,0.168421053,830
4.11523E-06,C6,7,898,2003,0.448327509,830
1.23457E-05,D6,7,2645,1920,1.377604167,830
3.7037E-05,E6,7,4640,1801,2.576346474,830
0.000111111,F6,7,6132,1816,3.376651982,830
0.000333333,G6,7,6585,1814,3.630099228,830
0.001,H6,7,6988,1920,3.639583333,830
0,A7,7,330,2704,0.12204142,999
1.37174E-06,B7,7,305,2674,0.114061331,999
4.11523E-06,C7,7,289,2628,0.109969559,999
1.23457E-05,D7,7,307,2456,0.125,999
3.7037E-05,E7,7,306,2404,0.127287854,999
0.000111111,F7,7,348,2530,0.137549407,999
0.000333333,G7,7,395,2424,0.162953795,999
0.001,H7,7,467,2429,0.192260189,999
0,A8,7,309,2855,0.108231173,999
1.37174E-06,B8,7,337,2589,0.130166087,999
4.11523E-06,C8,7,270,2256,0.119680851,999
1.23457E-05,D8,7,273,2207,0.123697327,999
3.7037E-05,E8,7,302,2567,0.117647059,999
0.000111111,F8,7,302,2403,0.125676238,999
0.000333333,G8,7,329,2445,0.134560327,999
0.001,H8,7,414,2428,0.170510708,999
