Order,TMA Concentrations,,,,,,,,,,,,,,,
,0,1.37174e.06,4.11523e.06,1.23457e.05,3.7037e.05,0.000111111,0.000333333,0.001,0,1.37174e.06,4.11523e.06,1.23457e.05,3.7037e.05,0.000111111,0.000333333,0.001
1,2,12,7,5,7,10,12,10,69.81143446,63.31506971,61.57538472,24.16057732,137.272688,58.55191041,22.67710175,96.67634961
2,3,1,3,10,2,7,7,2,29.47105531,55.81290973,38.46839841,20.45654183,43.36558007,21.81355749,21.08836378,73.88921458
3,4,11,10,7,9,5,10,7,27.25155029,24.86529818,31.04042781,15.96525411,37.20108995,21.38622327,19.1883039,73.48733503
4,9,6,6,8,10,12,2,5,26.42701869,22.57312251,24.05323243,12.43293599,26.65101259,18.24992044,19.12750328,47.9140038
5,7,8,8,11,12,11,8,12,25.90774324,15.93963317,20.31644891,11.44480526,18.10838941,15.84535592,18.39109016,41.15748262
6,10,5,12,2,8,8,4,6,20.82920778,13.85800257,17.63112255,11.19237698,13.28296563,9.552879691,16.88196073,29.83163458
7,6,9,2,12,11,1,9,8,15.3012787,13.61077218,14.8760922,10.97856189,10.93350524,8.367249291,15.62367287,25.69328079
8,8,7,9,9,5,4,1,4,15.08554227,12.89235848,12.35597378,10.26568677,10.21975218,8.222728518,15.09048038,25.47966802
9,1,10,11,4,6,H3A,H3A,1,13.10871063,10.19844599,10.38881295,9.4228609,10.10422435,7.619575208,8.718275767,15.6210005
10,11,2,4,1,1,6,6,11,12.77020697,10.03039744,8.434341597,7.22432435,8.438663208,7.459767787,8.42151401,12.93084815
11,5,4,5,3,4,3,5,3,12.00936076,9.851916083,6.782603594,6.90766374,7.943237259,7.348271235,7.958067411,8.591399105
12,12,3,1,H3A,3,2,11,9,8.135841961,8.723519164,6.508645923,5.065042614,7.139225899,6.996504609,7.442795136,5.466640783
13,H3A,H3A,H3A,6,H3A,9,3,H3A,5.079043708,6.647931486,5.282348401,4.834309373,6.655880946,6.491987271,6.160696288,4.545473754
